PassengerId;Survived;Pclass;Sex;Age;Fare
1;0;3;male;22.0;7.25
2;1;1;female;38.0;71.2833
3;1;3;female;26.0;7.925
4;1;1;female;35.0;53.1
5;0;3;male;35.0;8.05
7;0;1;male;54.0;51.8625
8;0;3;male;2.0;21.075
9;1;3;female;27.0;11.1333
10;1;2;female;14.0;30.0708
11;1;3;female;4.0;16.7
12;1;1;female;58.0;26.55
13;0;3;male;20.0;8.05
14;0;3;male;39.0;31.275
15;0;3;female;14.0;7.8542
16;1;2;female;55.0;16.0
17;0;3;male;2.0;29.125
19;0;3;female;31.0;18.0
21;0;2;male;35.0;26.0
22;1;2;male;34.0;13.0
23;1;3;female;15.0;8.0292
24;1;1;male;28.0;35.5
25;0;3;female;8.0;21.075
26;1;3;female;38.0;31.3875
28;0;1;male;19.0;263.0
31;0;1;male;40.0;27.7208
34;0;2;male;66.0;10.5
35;0;1;male;28.0;82.1708
36;0;1;male;42.0;52.0
38;0;3;male;21.0;8.05
39;0;3;female;18.0;18.0
40;1;3;female;14.0;11.2417
41;0;3;female;40.0;9.475
42;0;2;female;27.0;21.0
45;1;3;female;19.0;7.8792
50;0;3;female;18.0;17.8
51;0;3;male;7.0;39.6875
52;0;3;male;21.0;7.8
53;1;1;female;49.0;76.7292
54;1;2;female;29.0;26.0
55;0;1;male;65.0;61.9792
57;1;2;female;21.0;10.5
58;0;3;male;28.5;7.2292
59;1;2;female;5.0;27.75
60;0;3;male;11.0;46.9
61;0;3;male;22.0;7.2292
62;1;1;female;38.0;80.0
63;0;1;male;45.0;83.475
64;0;3;male;4.0;27.9
67;1;2;female;29.0;10.5
68;0;3;male;19.0;8.1583
69;1;3;female;17.0;7.925
70;0;3;male;26.0;8.6625
71;0;2;male;32.0;10.5
72;0;3;female;16.0;46.9
73;0;2;male;21.0;73.5
74;0;3;male;26.0;14.4542
75;1;3;male;32.0;56.4958
76;0;3;male;25.0;7.65
79;1;2;male;0.83;29.0
80;1;3;female;30.0;12.475
81;0;3;male;22.0;9.0
82;1;3;male;29.0;9.5
84;0;1;male;28.0;47.1
85;1;2;female;17.0;10.5
86;1;3;female;33.0;15.85
87;0;3;male;16.0;34.375
89;1;1;female;23.0;263.0
90;0;3;male;24.0;8.05
91;0;3;male;29.0;8.05
92;0;3;male;20.0;7.8542
93;0;1;male;46.0;61.175
94;0;3;male;26.0;20.575
95;0;3;male;59.0;7.25
97;0;1;male;71.0;34.6542
98;1;1;male;23.0;63.3583
99;1;2;female;34.0;23.0
100;0;2;male;34.0;26.0
101;0;3;female;28.0;7.8958
103;0;1;male;21.0;77.2875
104;0;3;male;33.0;8.6542
105;0;3;male;37.0;7.925
106;0;3;male;28.0;7.8958
107;1;3;female;21.0;7.65
109;0;3;male;38.0;7.8958
111;0;1;male;47.0;52.0
112;0;3;female;14.5;14.4542
113;0;3;male;22.0;8.05
114;0;3;female;20.0;9.825
115;0;3;female;17.0;14.4583
116;0;3;male;21.0;7.925
117;0;3;male;70.5;7.75
118;0;2;male;29.0;21.0
119;0;1;male;24.0;247.5208
120;0;3;female;2.0;31.275
121;0;2;male;21.0;73.5
123;0;2;male;32.5;30.0708
124;1;2;female;32.5;13.0
125;0;1;male;54.0;77.2875
126;1;3;male;12.0;11.2417
128;1;3;male;24.0;7.1417
130;0;3;male;45.0;6.975
131;0;3;male;33.0;7.8958
132;0;3;male;20.0;7.05
133;0;3;female;47.0;14.5
134;1;2;female;29.0;26.0
135;0;2;male;25.0;13.0
136;0;2;male;23.0;15.0458
137;1;1;female;19.0;26.2833
138;0;1;male;37.0;53.1
139;0;3;male;16.0;9.2167
140;0;1;male;24.0;79.2
142;1;3;female;22.0;7.75
143;1;3;female;24.0;15.85
144;0;3;male;19.0;6.75
145;0;2;male;18.0;11.5
146;0;2;male;19.0;36.75
147;1;3;male;27.0;7.7958
148;0;3;female;9.0;34.375
149;0;2;male;36.5;26.0
150;0;2;male;42.0;13.0
151;0;2;male;51.0;12.525
152;1;1;female;22.0;66.6
153;0;3;male;55.5;8.05
154;0;3;male;40.5;14.5
156;0;1;male;51.0;61.3792
157;1;3;female;16.0;7.7333
158;0;3;male;30.0;8.05
161;0;3;male;44.0;16.1
162;1;2;female;40.0;15.75
163;0;3;male;26.0;7.775
164;0;3;male;17.0;8.6625
165;0;3;male;1.0;39.6875
166;1;3;male;9.0;20.525
168;0;3;female;45.0;27.9
170;0;3;male;28.0;56.4958
171;0;1;male;61.0;33.5
172;0;3;male;4.0;29.125
173;1;3;female;1.0;11.1333
174;0;3;male;21.0;7.925
175;0;1;male;56.0;30.6958
176;0;3;male;18.0;7.8542
178;0;1;female;50.0;28.7125
179;0;2;male;30.0;13.0
180;0;3;male;36.0;0.0
184;1;2;male;1.0;39.0
185;1;3;female;4.0;22.025
188;1;1;male;45.0;26.55
189;0;3;male;40.0;15.5
190;0;3;male;36.0;7.8958
191;1;2;female;32.0;13.0
